Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,CreditHistory,PropertyArea,LoanStatus
1,0,0.0,1,0,3023,2286,105.93718958879364,107.8885556429723,0.0,0,0
1,1,1.7627509125032,1,0,5943,572,67.03093064975681,360.0,0.0,0,0
1,0,0.0,0,0,1872,2858,102.46856709936017,360.0,0.0,2,0
1,0,0.5070171897639517,1,0,2696,177,123.40877653306863,360.0,0.0,2,0
0,1,1.948898697141644,0,0,2509,1998,113.98531596188859,360.0,0.0,0,0
0,1,0.4523297685174663,0,0,1707,2905,71.0709679166572,360.0,0.0,1,0
1,1,1.6847742153993133,0,0,4974,64,129.0650327387849,298.3703206140618,0.0,1,0
0,0,1.7049258100064149,1,0,1344,13356,150.84154301667735,360.0,0.0,0,0
0,1,1.187349535656185,0,0,3816,1354,117.99518514099792,468.7590278606289,0.0,1,0
1,0,0.0,1,0,3123,3034,153.3094422275349,180.0,0.0,1,0
1,1,0.7956071030451763,0,0,4827,0,132.34797632318273,360.0,0.0,1,0
0,1,0.48797928675816715,1,0,2536,4753,185.072124279451,360.0,0.0,0,0
1,0,0.0,1,0,2252,2775,175.54117943079157,355.1418998554402,0.0,2,0
1,1,1.7861954493335208,0,0,4946,0,118.32407497133437,360.0,0.0,1,0
1,1,3.0,0,0,3807,1082,164.40339478269752,360.0,0.0,1,0
0,0,1.631138625997263,1,0,5040,0,160.0731196978002,360.0,0.0,1,0
1,1,0.7948113035416484,0,0,2456,2249,115.56367912479153,360.0,0.0,1,0
0,0,0.0,1,0,3472,0,111.90506464821308,360.0,0.0,1,0
1,1,1.7307116538790774,1,0,3327,252,136.9228466155163,429.2284661551631,0.0,1,0
1,0,1.5224469185434084,1,0,3105,221,113.43397375850589,420.89787674173635,0.0,1,0
1,0,0.0,0,0,8545,0,188.06639268330952,360.0,0.1952429877980445,0,0
0,1,0.7224521152615053,0,0,3711,1557,117.82850557950839,446.69425383138065,0.0,1,0
